entity_id,entity_name,year,tot_n,freq_hot,freq_warm,freq_cold,median_seconds,tot_n_empty,freq_hot_empty,freq_warm_empty,freq_cold_empty,median_seconds_empty,tot_n_onbase,freq_hot_onbase,freq_warm_onbase,freq_cold_onbase,median_seconds_onbase,team_name,game_type,is_qualified
671096,"Abbott, Andrew",2023,845,0.41420118343195267,0.5834319526627219,0.002366863905325444,15.78,552.0,0.6340579710144928,0.3641304347826087,0.0018115942028985507,14.385,293.0,0.0,0.9965870307167235,0.0034129692832764505,19.691,CIN,Regular,
671096,"Abbott, Andrew",2024,1053,0.4045584045584046,0.5944919278252612,0.000949667616334283,15.778,693.0,0.6060606060606061,0.3939393939393939,0.0,14.576,360.0,0.016666666666666666,0.9805555555555555,0.002777777777777778,18.411,CIN,Regular,
676265,"Abbott, Cory",2022,358,0.22905027932960895,0.7011173184357542,0.06983240223463687,18.445,244.0,0.3360655737704918,0.6516393442622951,0.012295081967213115,16.119,114.0,0.0,0.8070175438596491,0.19298245614035087,26.617,WSH,Regular,
656061,"Abreu, Albert",2023,482,0.22614107883817428,0.7634854771784232,0.01037344398340249,17.466,250.0,0.384,0.608,0.008,15.82,232.0,0.05603448275862069,0.9310344827586207,0.01293103448275862,19.229,NYY,Regular,
656061,"Abreu, Albert",2022,325,0.09538461538461539,0.8307692307692308,0.07384615384615385,20.48,187.0,0.1657754010695187,0.8128342245989305,0.0213903743315508,17.937,138.0,0.0,0.855072463768116,0.14492753623188406,23.341,MLB,Regular,
650556,"Abreu, Bryan",2023,551,0.15970961887477314,0.8348457350272233,0.0054446460980036296,17.844,320.0,0.259375,0.734375,0.00625,16.614,231.0,0.021645021645021644,0.974025974025974,0.004329004329004329,19.912,HOU,Regular,
650556,"Abreu, Bryan",2024,558,0.1917562724014337,0.8010752688172043,0.007168458781362007,17.22,322.0,0.2950310559006211,0.6956521739130435,0.009316770186335404,16.098,236.0,0.05084745762711865,0.9449152542372882,0.00423728813559322,18.34,HOU,Regular,
650556,"Abreu, Bryan",2022,423,0.004728132387706856,0.9148936170212766,0.08037825059101655,22.35,231.0,0.008658008658008658,0.922077922077922,0.06926406926406926,21.246,192.0,0.0,0.90625,0.09375,24.024,HOU,Regular,
642758,"Acevedo, Domingo",2022,396,0.0,0.9318181818181818,0.06818181818181818,22.871,256.0,0.0,0.9609375,0.0390625,21.468,140.0,0.0,0.8785714285714286,0.12142857142857143,25.333,OAK,Regular,
592094,"Adam, Jason",2023,401,0.00997506234413965,0.9800498753117207,0.00997506234413965,18.867,246.0,0.016260162601626018,0.9796747967479674,0.0040650406504065045,17.693,155.0,0.0,0.9806451612903225,0.01935483870967742,21.348,TB,Regular,
592094,"Adam, Jason",2022,392,0.0,0.8698979591836735,0.13010204081632654,23.468,269.0,0.0,0.9256505576208178,0.07434944237918216,22.096,123.0,0.0,0.7479674796747967,0.25203252032520324,26.171,TB,Regular,
592094,"Adam, Jason",2024,455,0.006593406593406593,0.9846153846153847,0.008791208791208791,18.531,312.0,0.009615384615384616,0.9807692307692307,0.009615384615384616,17.842,143.0,0.0,0.993006993006993,0.006993006993006993,20.292,MLB,Regular,
613534,"Adams, Austin",2021,476,0.13655462184873948,0.8109243697478992,0.052521008403361345,19.96,276.0,0.22826086956521738,0.7644927536231884,0.007246376811594203,17.315,200.0,0.01,0.875,0.115,23.97,SD,Regular,
613534,"Adams, Austin",2024,396,0.23737373737373738,0.7575757575757576,0.005050505050505051,16.947,184.0,0.391304347826087,0.5978260869565217,0.010869565217391304,15.793,212.0,0.10377358490566038,0.8962264150943396,0.0,17.83,OAK,Regular,
672851,"Adon, Joan",2023,403,0.43672456575682383,0.5583126550868487,0.004962779156327543,15.577,249.0,0.678714859437751,0.321285140562249,0.0,13.776,154.0,0.045454545454545456,0.9415584415584416,0.012987012987012988,18.809,WSH,Regular,
672851,"Adon, Joan",2022,552,0.24456521739130435,0.6956521739130435,0.059782608695652176,18.704,300.0,0.45,0.5366666666666666,0.013333333333333334,15.315,252.0,0.0,0.8849206349206349,0.11507936507936507,23.126,WSH,Regular,
669211,"Akin, Keegan",2022,514,0.3540856031128405,0.6361867704280155,0.009727626459143969,16.805,315.0,0.5682539682539682,0.42857142857142855,0.0031746031746031746,14.405,199.0,0.01507537688442211,0.964824120603015,0.020100502512562814,20.065,BAL,Regular,
669211,"Akin, Keegan",2024,556,0.4550359712230216,0.5431654676258992,0.0017985611510791368,15.345,377.0,0.623342175066313,0.376657824933687,0.0,14.429,179.0,0.1005586592178771,0.8938547486033519,0.00558659217877095,16.87,BAL,Regular,
669211,"Akin, Keegan",2021,780,0.22948717948717948,0.7384615384615385,0.03205128205128205,17.997,496.0,0.3467741935483871,0.6451612903225806,0.008064516129032258,16.065,284.0,0.02464788732394366,0.9014084507042254,0.07394366197183098,20.653,BAL,Regular,
669211,"Akin, Keegan",2020,224,0.4330357142857143,0.5491071428571429,0.017857142857142856,15.7,125.0,0.696,0.296,0.008,13.315,99.0,0.10101010101010101,0.8686868686868687,0.030303030303030304,17.776,BAL,Regular,
660896,"Alcala, Jorge",2024,391,0.4092071611253197,0.5882352941176471,0.0025575447570332483,15.581,256.0,0.59765625,0.3984375,0.00390625,14.34,135.0,0.05185185185185185,0.9481481481481482,0.0,18.454,MIN,Regular,
660896,"Alcala, Jorge",2021,352,0.07954545454545454,0.8153409090909091,0.10511363636363637,21.469,241.0,0.11618257261410789,0.8174273858921162,0.06639004149377593,19.992,111.0,0.0,0.8108108108108109,0.1891891891891892,25.654,MIN,Regular,
